Timestamp,Temperature,Vibration,Pressure,Flow Rate
1/17/24-0:02,16.78953897,0.372727273,2.516010979,2.767612077
1/17/24-0:02,17.65783638,0.390909091,2.350704474,2.585774922
1/17/24-0:02,18.54899897,0.409090909,2.205780667,2.426358733
1/17/24-0:02,19.87272727,0.427272727,2.07768862,2.285457482
1/17/24-0:02,21.27021944,0.445454545,1.963656957,2.160022653
1/17/24-0:02,22.6677116,0.463636364,1.86149106,2.047640166
1/17/24-0:02,24.06520376,0.481818182,1.769430454,1.9463735
1/17/24-0:02,25.46269592,0.5,1.686046512,1.854651163
1/17/24-0:02,26.86018809,0.518181818,1.61016778,1.771184559
1/17/24-0:02,28.25768025,0.536363636,1.540824607,1.694907068
1/17/24-0:02,29.65517241,0.554545455,1.477207476,1.624928223
1/17/24-0:02,31.05266458,0.572727273,1.418635264,1.56049879
1/17/24-0:02,32.45015674,0.590909091,1.364530755,1.500983831
1/17/24-0:02,33.8476489,0.609090909,1.314401556,1.445841711
1/17/24-0:02,35.24514107,0.627272727,1.267825064,1.39460757
1/17/24-0:02,36.64263323,0.645454545,1.224436529,1.346880182
1/17/24-0:02,38.04012539,0.663636364,1.183919479,1.302311426
1/17/24-0:02,39.43761755,0.681818182,1.145997988,1.260597787
1/17/24-0:02,40.83510972,0.7,1.110430388,1.221473426
1/17/24-0:02,42.23260188,0.718181818,1.077004105,1.184704516
1/17/24-0:02,43.63009404,0.736363636,1.045531418,1.15008456
1/17/24-0:02,45.02758621,0.754545455,1.015845923,1.117430515
1/17/24-0:02,46.42507837,0.772727273,0.987799591,1.08657955
1/17/24-0:02,47.82257053,0.790909091,0.961260306,1.057386336
1/17/24-0:02,49.2200627,0.809090909,0.936109774,1.029720752
1/17/24-0:02,50.61755486,0.827272727,0.91224177,1.003465947
1/17/24-0:02,52.01504702,0.845454545,0.88956063,0.978516693
1/17/24-0:02,53.41253918,0.863636364,0.867979974,0.954777971
1/17/24-0:02,54.81003135,0.881818182,0.847421607,0.932163768
1/17/24-0:02,56.20752351,0.9,0.82781457,0.910596026
1/17/24-0:02,57.60501567,0.9,0.82781457,0.910596026
1/17/24-0:02,59.00250784,0.888235294,0.841917591,0.92610935
1/17/24-0:02,60.4,0.876470588,0.856509472,0.942160419
1/17/24-0:02,60.4,0.864705882,0.871616079,0.958777687
1/17/24-0:02,59.38823529,0.852941176,0.887265136,0.975991649
1/17/24-0:02,58.37647059,0.841176471,0.903486395,0.993835034
1/17/24-0:02,57.36470588,0.829411765,0.920311823,1.012343006
1/17/24-0:02,56.35294118,0.817647059,0.937775816,1.031553398
1/17/24-0:02,55.34117647,0.805882353,0.95591543,1.051506973
1/17/24-0:02,54.32941176,0.794117647,0.974770642,1.072247706
1/17/24-0:02,53.31764706,0.782352941,0.994384651,1.093823117
1/17/24-0:02,52.30588235,0.770588235,1.014804202,1.116284623
1/17/24-0:02,51.29411765,0.758823529,1.036079961,1.139687957
1/17/24-0:02,50.28235294,0.747058824,1.058266932,1.164093625
1/17/24-0:02,49.27058824,0.735294118,1.081424936,1.18956743
1/17/24-0:02,48.25882353,0.723529412,1.105619147,1.216181061
1/17/24-0:02,47.24705882,0.711764706,1.130920703,1.244012773
1/17/24-0:02,46.23529412,0.7,1.157407407,1.273148148
1/17/24-0:02,45.22352941,0.688235294,1.185164529,1.303680982
1/17/24-0:02,44.21176471,0.676470588,1.214285714,1.335714286
1/17/24-0:02,43.2,0.664705882,1.244874048,1.369361453
1/17/24-0:02,42.18823529,0.652941176,1.277043269,1.404747596
1/17/24-0:02,41.17647059,0.641176471,1.310919186,1.442011104
1/17/24-0:02,40.16470588,0.629411765,1.346641318,1.48130545
1/17/24-0:02,39.15294118,0.617647059,1.384364821,1.522801303
1/17/24-0:02,38.14117647,0.605882353,1.424262735,1.566689008
1/17/24-0:02,37.12941176,0.594117647,1.46652864,1.613181504
1/17/24-0:02,36.11764706,0.582352941,1.511379801,1.662517781
1/17/24-0:02,35.10588235,0.570588235,1.559060895,1.714966985
1/17/24-0:03,34.09411765,0.558823529,1.609848485,1.770833333
1/17/24-0:03,33.08235294,0.547058824,1.664056382,1.83046202
